Filename,Timestamp,Words_Out_of_Order,Longest_Consecutive_Count,Count_of_Audible_Words
09-30-2021 02-59-43.wav,2023-10-03 23:28:59.393384,False,0,0
09-30-2021 00-09-19.wav,2023-10-03 23:29:02.784625,False,10,10
09-30-2021 02-47-43.wav,2023-10-03 23:29:09.549765,False,10,10
09-30-2021 00-17-19.wav,2023-10-03 23:29:13.007758,False,10,10
09-30-2021 03-30-55.wav,2023-10-03 23:29:16.394248,False,10,10
09-30-2021 01-07-43.wav,2023-10-03 23:29:19.292917,False,0,0
09-30-2021 00-05-19.wav,2023-10-03 23:29:25.901945,False,10,10
09-30-2021 02-55-43.wav,2023-10-03 23:29:29.320547,False,10,10
09-30-2021 01-19-43.wav,2023-10-03 23:29:32.224066,False,0,0
09-30-2021 00-18-07.wav,2023-10-03 23:29:35.603269,False,10,10
09-30-2021 02-00-31.wav,2023-10-03 23:29:47.899706,True,0,1
09-30-2021 00-06-07.wav,2023-10-03 23:29:51.423203,False,10,10
09-29-2021 23-51-43.wav,2023-10-03 23:29:54.876368,False,10,10
09-30-2021 01-52-31.wav,2023-10-03 23:29:57.768047,False,0,0
09-30-2021 02-12-31.wav,2023-10-03 23:30:04.425022,False,10,10
09-30-2021 00-14-07.wav,2023-10-03 23:30:07.821358,False,10,10
09-30-2021 01-40-31.wav,2023-10-03 23:30:11.269556,False,10,10
09-30-2021 02-24-31.wav,2023-10-03 23:30:14.677257,False,10,10
09-30-2021 00-22-07.wav,2023-10-03 23:30:21.334413,False,10,10
09-30-2021 02-36-31.wav,2023-10-03 23:30:30.443017,True,0,1
09-30-2021 02-28-31.wav,2023-10-03 23:30:39.502586,True,0,1
09-30-2021 00-30-07.wav,2023-10-03 23:31:08.510107,True,0,1
09-30-2021 01-03-43.wav,2023-10-03 23:31:16.516944,False,0,0
09-30-2021 03-34-55.wav,2023-10-03 23:31:25.586492,True,0,1
09-30-2021 00-01-19.wav,2023-10-03 23:31:29.042188,False,10,10
09-30-2021 02-51-43.wav,2023-10-03 23:31:32.522507,False,10,10
09-30-2021 01-11-43.wav,2023-10-03 23:31:39.725180,False,0,0
09-30-2021 03-26-55.wav,2023-10-03 23:31:43.467727,False,10,10
09-30-2021 02-43-43.wav,2023-10-03 23:31:46.993108,False,10,10
09-30-2021 00-13-19.wav,2023-10-03 23:31:50.422340,False,10,10
09-30-2021 01-27-43.wav,2023-10-03 23:31:57.735981,False,0,0
09-30-2021 03-10-55.wav,2023-10-03 23:32:01.240932,False,10,10
09-30-2021 01-39-43.wav,2023-10-03 23:32:04.694534,False,10,10
09-30-2021 00-25-19.wav,2023-10-03 23:32:13.760885,True,0,1
09-30-2021 00-42-55.wav,2023-10-03 23:32:21.964232,False,10,10
09-30-2021 00-29-19.wav,2023-10-03 23:32:24.876398,False,0,0
09-30-2021 01-35-43.wav,2023-10-03 23:32:27.812851,False,0,0
09-30-2021 03-02-55.wav,2023-10-03 23:32:30.739618,False,0,0
09-30-2021 00-37-19.wav,2023-10-03 23:32:38.214750,False,8,8
09-30-2021 00-50-55.wav,2023-10-03 23:32:41.135014,False,0,0
09-30-2021 03-20-31.wav,2023-10-03 23:32:44.638158,False,10,10
09-30-2021 01-38-07.wav,2023-10-03 23:32:48.050984,False,10,10
09-30-2021 01-26-07.wav,2023-10-03 23:32:55.410923,False,0,0
09-30-2021 03-32-31.wav,2023-10-03 23:32:59.156449,False,10,10
09-30-2021 01-34-07.wav,2023-10-03 23:33:02.113891,False,0,0
09-30-2021 03-04-31.wav,2023-10-03 23:33:05.542078,False,10,10
09-29-2021 23-57-19.wav,2023-10-03 23:33:13.247298,False,10,10
09-30-2021 00-48-31.wav,2023-10-03 23:33:22.271106,True,0,1
09-30-2021 02-50-07.wav,2023-10-03 23:33:25.703058,False,10,10
09-30-2021 00-56-31.wav,2023-10-03 23:33:28.614355,False,0,0
09-30-2021 01-02-07.wav,2023-10-03 23:33:36.060085,False,0,0
09-30-2021 03-16-31.wav,2023-10-03 23:33:39.479364,False,10,10
09-30-2021 02-42-07.wav,2023-10-03 23:33:42.891615,False,10,10
09-30-2021 00-44-31.wav,2023-10-03 23:33:46.312492,False,10,10
09-30-2021 01-10-07.wav,2023-10-03 23:33:53.649981,False,0,0
09-30-2021 02-14-55.wav,2023-10-03 23:34:06.083559,True,0,1
09-30-2021 01-58-55.wav,2023-10-03 23:34:09.499086,False,10,10
09-30-2021 00-23-43.wav,2023-10-03 23:34:17.597230,False,10,10
09-30-2021 01-46-55.wav,2023-10-03 23:34:23.869658,True,0,1
09-30-2021 01-21-19.wav,2023-10-03 23:34:50.935879,True,0,1
09-30-2021 02-06-55.wav,2023-10-03 23:34:53.874991,False,0,0
09-30-2021 00-31-43.wav,2023-10-03 23:35:07.710338,False,0,0
09-30-2021 01-54-55.wav,2023-10-03 23:35:11.490620,False,10,10
09-30-2021 02-18-55.wav,2023-10-03 23:35:14.796567,False,8,8
09-30-2021 01-33-19.wav,2023-10-03 23:35:17.701106,False,0,0
09-30-2021 02-30-55.wav,2023-10-03 23:35:32.854423,False,0,0
09-29-2021 23-50-07.wav,2023-10-03 23:35:36.310030,False,10,10
09-30-2021 00-07-43.wav,2023-10-03 23:35:39.743164,False,10,10
09-30-2021 02-57-19.wav,2023-10-03 23:35:42.808789,True,0,1
09-30-2021 00-19-43.wav,2023-10-03 23:35:50.679305,False,10,10
09-30-2021 02-49-19.wav,2023-10-03 23:35:54.097861,False,10,10
09-30-2021 01-05-19.wav,2023-10-03 23:35:57.011570,False,0,0
09-30-2021 02-22-55.wav,2023-10-03 23:36:00.396122,False,10,10
09-30-2021 01-09-19.wav,2023-10-03 23:36:06.556950,False,0,0
09-30-2021 02-45-19.wav,2023-10-03 23:36:10.024374,False,10,10
09-30-2021 00-15-43.wav,2023-10-03 23:36:13.447740,False,10,10
09-30-2021 01-17-19.wav,2023-10-03 23:36:16.869419,False,10,10
